metric,value,step,wall_time
training loss per epoch,1.9739067792892455,1.0,2022-10-19 12:50:00.0
accuracy per epoch,36.08,1.0,2022-10-19 13:10:00.0
training loss per epoch,1.9739067792892455,1.0,2022-10-19 12:50:00.0
accuracy per epoch,35.92,1.0,2022-10-19 13:10:00.0
training loss per epoch,1.9739067792892455,1.0,2022-10-19 12:50:00.0
accuracy per epoch,33.72,1.0,2022-10-19 13:10:00.0
