metric,value,step,wall_time
training loss per epoch,1.0315033268928528,1.0,2022-10-19 11:22:00.0
accuracy per epoch,73.92,1.0,2022-10-19 11:44:00.0
training loss per epoch,1.0315033268928528,1.0,2022-10-19 11:22:00.0
accuracy per epoch,74.12,1.0,2022-10-19 11:44:00.0
training loss per epoch,1.0315033268928528,1.0,2022-10-19 11:22:00.0
accuracy per epoch,72.88,1.0,2022-10-19 11:44:00.0
