metric,value,step,wall_time
training loss per epoch,1.2783894443511963,1.0,2022-10-19 07:57:00.0
accuracy per epoch,74.16,1.0,2022-10-19 08:00:00.0
training loss per epoch,1.2783894443511963,1.0,2022-10-19 07:57:00.0
accuracy per epoch,74.2,1.0,2022-10-19 08:00:00.0
training loss per epoch,1.2783894443511963,1.0,2022-10-19 07:57:00.0
accuracy per epoch,73.6,1.0,2022-10-19 08:00:00.0
