metric,value,step,wall_time
training loss per epoch,0.6114900517463684,1.0,2022-10-19 07:43:00.0
accuracy per epoch,80.72,1.0,2022-10-19 07:46:00.0
training loss per epoch,0.6114900517463684,1.0,2022-10-19 07:43:00.0
accuracy per epoch,81.3,1.0,2022-10-19 07:46:00.0
training loss per epoch,0.6114900517463684,1.0,2022-10-19 07:43:00.0
accuracy per epoch,80.46,1.0,2022-10-19 07:46:00.0
