metric,value,step,wall_time
training loss per epoch,2.450479063987732,1.0,2022-10-19 08:50:00.0
accuracy per epoch,9.04,1.0,2022-10-19 08:53:00.0
training loss per epoch,2.450479063987732,1.0,2022-10-19 08:50:00.0
accuracy per epoch,8.76,1.0,2022-10-19 08:53:00.0
training loss per epoch,2.450479063987732,1.0,2022-10-19 08:50:00.0
accuracy per epoch,9.08,1.0,2022-10-19 08:53:00.0
