metric,value,step,wall_time
training loss per epoch,2.3004337120056153,1.0,2022-10-19 08:45:00.0
accuracy per epoch,15.52,1.0,2022-10-19 08:48:00.0
training loss per epoch,2.3004337120056153,1.0,2022-10-19 08:45:00.0
accuracy per epoch,14.6,1.0,2022-10-19 08:48:00.0
training loss per epoch,2.3004337120056153,1.0,2022-10-19 08:45:00.0
accuracy per epoch,17.04,1.0,2022-10-19 08:48:00.0
