metric,value,step,wall_time
training loss per epoch,2.4668855094909667,1.0,2022-10-19 09:15:00.0
accuracy per epoch,11.52,1.0,2022-10-19 09:18:00.0
training loss per epoch,2.4668855094909667,1.0,2022-10-19 09:15:00.0
accuracy per epoch,13.0,1.0,2022-10-19 09:18:00.0
training loss per epoch,2.4668855094909667,1.0,2022-10-19 09:15:00.0
accuracy per epoch,13.0,1.0,2022-10-19 09:18:00.0
